*TIPO CURSO;IES;*IES_ID;CAMPUS;*CAMPUS_ID;*NOME DO CURSO;*TURNO;*QTDE DE MENSALIDADE DO CURSO;MENSALIDADE;*VALOR DO CURSO;*ID_CLASSIFICAÇÃO;CLASSIFICAÇÃO;*ID_ENFASE;ENFASE;*DESCRIÇÃO CURTA;*Ativo;*ID AREA DE CONHECIMENTO;ID PRODUTO PRVALER;ID_CURSO_IES;MATRICULA;"";"erro";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;COMUNICAÇÃO INSTITUCIONAL;EAD - Ensino à Distância;24;408,17;9796,08;37;COMUNICAÇÃO INSTITUCIONAL;55;COMUNICAÇÃO INSTITUCIONAL;GRA-COM-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;COZINHA CONTEMPORÂNEA;EAD - Ensino à Distância;24;720,83;17299,92;79;COZINHA CONTEMPORÂNEA;149;GASTRONOMIA;GRA-COZ-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;DEFESA CIBERNÉTICA;EAD - Ensino à Distância;30;408,17;12245,1;205;DEFESA CIBERNÉTICA;404;SEGURANÇA PRIVADA;GRA-DEF-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;ENGENHARIA DE SOFTWARE;EAD - Ensino à Distância;48;720,83;34599,84;62;ENGENHARIA DE SOFTWARE;100;ENGENHARIA;GRA-ENG-POL-EAD;1;2;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;FILOSOFIA - LICENCIATURA;EAD - Ensino à Distância;48;383,17;18392,16;71;FILOSOFIA - LICENCIATURA;141;FILOSOFIA;GRA-FIL-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GEOGRAFIA - LICENCIATURA;EAD - Ensino à Distância;48;383,17;18392,16;80;GEOGRAFIA - LICENCIATURA;150;GEOGRAFIA;GRA-GEO-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GEOGRAFIA - BACHARELADO;EAD - Ensino à Distância;36;383,17;13794,12;80;GEOGRAFIA - BACHARELADO;150;GEOGRAFIA;GRA-GEO-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GEOGRAFIA - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;80;GEOGRAFIA - SEGUNDA LICENCIATURA;150;GEOGRAFIA;GRA-GEO-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GERONTOLOGIA - BEM ESTAR E EDUCAÇÃO;EAD - Ensino à Distância;24;408,17;9796,08;292;GERONTOLOGIA - BEM ESTAR E EDUCAÇÃO;630;GERONTOLOGIA;GRA-GER-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO AMBIENTAL;EAD - Ensino à Distância;24;408,17;9796,08;82;GESTÃO AMBIENTAL;153;GESTÃO AMBIENTAL;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO COMERCIAL;EAD - Ensino à Distância;24;408,17;9796,08;84;GESTÃO COMERCIAL;155;GESTÃO COMERCIAL;GRA-GES-POL-EAD;1;8;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DA QUALIDADE;EAD - Ensino à Distância;24;408,17;9796,08;99;GESTÃO DA QUALIDADE;182;GESTÃO DE QUALIDADE;GRA-GES-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;EAD - Ensino à Distância;30;408,17;12245,1;218;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;536;TECNOLOGIA DA INFORMAÇÃO;GRA-GES-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DA PRODUÇÃO INDUSTRIAL;EAD - Ensino à Distância;36;478,34;17220,24;120;GESTÃO DA PRODUÇÃO INDUSTRIAL;218;GESTÃO INDUSTRIAL;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DE RECURSOS HUMANOS;EAD - Ensino à Distância;24;408,17;9796,08;195;GESTÃO DE RECURSOS HUMANOS;389;RECURSOS HUMANOS;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DE SEGURANÇA PRIVADA;EAD - Ensino à Distância;24;408,17;9796,08;205;GESTÃO DE SEGURANÇA PRIVADA;404;SEGURANÇA PRIVADA;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO DE TURISMO;EAD - Ensino à Distância;24;408,17;9796,08;107;GESTÃO DE TURISMO;195;GESTÃO DE TURISMO;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO E EMPREENDEDORISMO;EAD - Ensino à Distância;48;383,17;18392,16;115;GESTÃO E EMPREENDEDORISMO;211;GESTÃO EMPREENDEDORA;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO FINANCEIRA;EAD - Ensino à Distância;24;408,17;9796,08;364;GESTÃO FINANCEIRA;699;GESTÃO FINANCEIRA, AUDITORIA E CONTROLADORIA;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO HOSPITALAR;EAD - Ensino à Distância;36;408,17;14694,12;118;GESTÃO HOSPITALAR;216;GESTÃO HOSPITALAR;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;GESTÃO PÚBLICA;EAD - Ensino à Distância;24;408,17;9796,08;123;GESTÃO PÚBLICA;223;GESTÃO PÚBLICA;GRA-GES-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;HISTÓRIA - LICENCIATURA;EAD - Ensino à Distância;48;383,17;18392,16;127;HISTÓRIA - LICENCIATURA;246;HISTÓRIA;GRA-HIS-POL-EAD;1;6;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;HISTÓRIA - BACHARELADO;EAD - Ensino à Distância;36;383,17;13794,12;127;HISTÓRIA - BACHARELADO;246;HISTÓRIA;GRA-HIS-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;HISTÓRIA - FORMAÇÃO PEDAGÓGICA;EAD - Ensino à Distância;18;383,17;6897,06;127;HISTÓRIA - FORMAÇÃO PEDAGÓGICA;246;HISTÓRIA;GRA-HIS-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;HISTÓRIA - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;127;HISTÓRIA - SEGUNDA LICENCIATURA;246;HISTÓRIA;GRA-HIS-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;INVESTIGAÇÃO FORENSE E PERÍCIA CRIMINAL;EAD - Ensino à Distância;30;408,17;12245,1;293;INVESTIGAÇÃO FORENSE E PERÍCIA CRIMINAL;631;TOXICOLOGIA FORENSE;GRA-INV-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;JOGOS DIGITAIS;EAD - Ensino à Distância;30;408,17;12245,1;131;JOGOS DIGITAIS;258;JOGOS DIGITAIS;GRA-JOG-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;JORNALISMO;EAD - Ensino à Distância;48;478,34;22960,32;132;JORNALISMO;259;JORNALISMO;GRA-JOR-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - ESPANHOL;EAD - Ensino à Distância;48;383,17;18392,16;133;LETRAS - ESPANHOL;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - ESPANHOL - FORMAÇÃO PEDAGÓGICA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - ESPANHOL - FORMAÇÃO PEDAGÓGICA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - ESPANHOL - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - ESPANHOL - SEGUNDA LICENCIATURA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - INGLÊS;EAD - Ensino à Distância;48;383,17;18392,16;133;LETRAS - INGLÊS;260;LETRAS;GRA-LET-POL-EAD;1;8;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - INGLÊS - FORMAÇÃO PEDAGÓGICA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - INGLÊS - FORMAÇÃO PEDAGÓGICA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - INGLÊS - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - INGLÊS - SEGUNDA LICENCIATURA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - LIBRAS - LÍNGUA PORTUGUESA;EAD - Ensino à Distância;54;383,17;20691,18;133;LETRAS - LIBRAS - LÍNGUA PORTUGUESA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - LÍNGUA PORTUGUESA - BACHARELADO;EAD - Ensino à Distância;36;383,17;13794,12;133;LETRAS - LÍNGUA PORTUGUESA - BACHARELADO;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
